time_s,state,jp_1,jp_2,jp_3,jp_4,jp_5,jp_6,jp_7,jv_1,jv_2,jv_3,jv_4,jv_5,jv_6,jv_7,tgt_1,tgt_2,tgt_3,tgt_4,tgt_5,tgt_6,tgt_7,ball_x,ball_y,ball_z,ball_vx,ball_vy,ball_vz,racket_x,racket_y,racket_z,phase,phase_speed,motion_id
0.1087,0,1.75269,-0.76505,-1.87209,1.45094,0.19894,-0.83104,1.04124,-0.0020,-0.0020,-0.0020,-0.0020,-0.0073,-0.0073,-0.0073,1.76900,-0.76200,-1.86300,1.44500,0.20600,-0.82700,1.04300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.3270,0.0644,1.1033,0.0000,1.0000,0
0.1286,0,1.75269,-0.76505,-1.87209,1.45094,0.19894,-0.83104,1.04124,-0.0020,-0.0020,-0.0020,-0.0020,-0.0073,-0.0073,-0.0073,1.76900,-0.76200,-1.86300,1.44500,0.20600,-0.82700,1.04300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.3270,0.0644,1.1033,0.0000,1.0000,0
0.1485,0,1.75269,-0.76505,-1.87209,1.45094,0.19932,-0.83104,1.04124,-0.0020,-0.0020,-0.0020,-0.0020,-0.0073,-0.0073,-0.0073,1.76900,-0.76200,-1.86300,1.44500,0.20600,-0.82700,1.04300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.3270,0.0644,1.1032,0.0000,1.0000,0
0.1687,0,1.75269,-0.76505,-1.87209,1.45094,0.19932,-0.83104,1.04124,-0.0020,-0.0020,-0.0020,-0.0020,-0.0073,-0.0073,-0.0073,1.76900,-0.76200,-1.86300,1.44500,0.20600,-0.82700,1.04300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.3270,0.0644,1.1032,0.0000,1.0000,0
0.1885,0,1.75269,-0.76505,-1.87209,1.45094,0.19894,-0.83104,1.04124,-0.0020,-0.0020,-0.0020,-0.0020,-0.0220,-0.0073,-0.0073,1.76900,-0.76200,-1.86300,1.44500,0.20600,-0.82700,1.04300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.3270,0.0644,1.1033,0.0000,1.0000,0
0.2085,0,1.75269,-0.76505,-1.87209,1.45094,0.19894,-0.83104,1.04124,-0.0020,-0.0020,-0.0020,-0.0020,-0.0073,-0.0073,-0.0073,1.76900,-0.76200,-1.86300,1.44500,0.20600,-0.82700,1.04300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.3270,0.0644,1.1033,0.0000,1.0000,0
0.2285,0,1.75269,-0.76505,-1.87209,1.45094,0.19932,-0.83104,1.04124,-0.0020,-0.0020,-0.0020,-0.0020,-0.0073,-0.0073,-0.0073,1.76900,-0.76200,-1.86300,1.44500,0.20600,-0.82700,1.04300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.3270,0.0644,1.1032,0.0000,1.0000,0
0.2485,0,1.75269,-0.76505,-1.87209,1.45094,0.19894,-0.83104,1.04124,-0.0020,-0.0020,-0.0020,-0.0020,0.0073,-0.0220,-0.0073,1.76900,-0.76200,-1.86300,1.44500,0.20600,-0.82700,1.04300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.3270,0.0644,1.1033,0.0000,1.0000,0
0.2687,0,1.75269,-0.76505,-1.87209,1.45094,0.19894,-0.83104,1.04124,-0.0020,-0.0020,-0.0020,-0.0020,-0.0073,-0.0073,-0.0073,1.76900,-0.76200,-1.86300,1.44500,0.20600,-0.82700,1.04300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.3270,0.0644,1.1033,0.0000,1.0000,0
0.2885,0,1.75269,-0.76505,-1.87209,1.45094,0.19894,-0.83104,1.04124,-0.0020,-0.0020,-0.0020,-0.0020,-0.0073,-0.0073,-0.0073,1.76900,-0.76200,-1.86300,1.44500,0.20600,-0.82700,1.04300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.3270,0.0644,1.1033,0.0000,1.0000,0
0.3086,0,1.75269,-0.76505,-1.87209,1.45094,0.19932,-0.83104,1.04124,-0.0020,-0.0020,-0.0020,-0.0020,-0.0073,-0.0073,-0.0073,1.76900,-0.76200,-1.86300,1.44500,0.20600,-0.82700,1.04300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.3270,0.0644,1.1032,0.0000,1.0000,0
0.3286,0,1.75269,-0.76505,-1.87209,1.45094,0.19894,-0.83104,1.04124,-0.0020,-0.0020,-0.0020,-0.0020,-0.0073,-0.0073,-0.0073,1.76900,-0.76200,-1.86300,1.44500,0.20600,-0.82700,1.04300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.3270,0.0644,1.1033,0.0000,1.0000,0
0.3485,0,1.75269,-0.76505,-1.87209,1.45094,0.19932,-0.83104,1.04124,-0.0020,-0.0020,-0.0020,-0.0020,-0.0220,-0.0073,-0.0073,1.76900,-0.76200,-1.86300,1.44500,0.20600,-0.82700,1.04300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.3270,0.0644,1.1032,0.0000,1.0000,0
0.3685,0,1.75269,-0.76505,-1.87209,1.45094,0.19894,-0.83104,1.04124,-0.0020,-0.0020,-0.0020,-0.0020,-0.0073,-0.0073,-0.0073,1.76900,-0.76200,-1.86300,1.44500,0.20600,-0.82700,1.04300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.3270,0.0644,1.1033,0.0000,1.0000,0
